sample_id,accuracy,window_size
479,54.76973684210526,10.0
480,60.1828560371517,10.0
481,58.59616873065015,10.0
482,59.21536377708978,10.0
483,56.67569659442724,10.0
484,60.04740712074304,10.0
485,64.07701238390094,10.0
486,61.09713622291022,10.0
487,54.81327399380805,10.0
488,56.525735294117645,10.0
489,58.68324303405573,10.0
490,55.92105263157895,10.0
491,55.742066563467496,10.0
492,58.73645510835914,10.0
493,60.390866873065015,10.0
494,57.89473684210526,10.0
495,60.74883900928793,10.0
496,62.12267801857586,10.0
497,60.187693498452006,10.0
498,58.07856037151703,10.0
499,59.56849845201239,10.0
500,57.851199690402474,10.0
501,59.099264705882355,10.0
502,59.583010835913306,10.0
503,58.344620743034056,10.0
504,56.59345975232197,10.0
505,58.39783281733747,10.0
506,60.79237616099071,10.0
507,61.556695046439636,10.0
508,57.686726006191954,10.0
509,54.29082817337461,10.0
510,58.34462074303405,10.0
511,54.880998452012385,10.0
512,57.885061919504636,10.0
513,56.34191176470589,10.0
514,58.43653250773994,10.0
515,56.293537151702786,10.0
516,57.91408668730651,10.0
517,56.158088235294116,10.0
518,58.155959752321984,10.0
519,60.81172600619196,10.0
520,58.49941950464397,10.0
521,59.278250773993804,10.0
522,56.182275541795676,10.0
523,56.86435758513932,10.0
524,57.80766253869969,10.0
525,61.35352167182662,10.0
526,59.766834365325074,10.0
527,59.5733359133127,10.0
528,57.45936532507739,10.0
529,61.07294891640866,10.0
530,57.10623065015481,10.0
531,57.44001547987616,10.0
532,57.86087461300309,10.0
533,58.59133126934984,10.0
534,58.262383900928796,10.0
535,56.153250773993804,10.0
536,58.881578947368425,10.0
537,59.9264705882353,10.0
538,60.64725232198142,10.0
539,60.19736842105263,10.0
540,58.64938080495356,10.0
541,60.26025541795666,10.0
542,59.060565015479874,10.0
543,56.835332817337466,10.0
544,62.22426470588234,10.0
545,57.04334365325077,10.0
546,51.19969040247678,10.0
547,58.28657120743034,10.0
548,56.36126160990711,10.0
549,59.69427244582043,10.0
550,62.17589009287925,10.0
551,61.363196594427244,10.0
552,62.12751547987615,10.0
553,57.14976780185758,10.0
554,60.2312306501548,10.0
555,57.39647832817337,10.0
556,55.12770897832818,10.0
557,64.03831269349845,10.0
558,59.1234520123839,10.0
559,59.6749226006192,10.0
560,61.392221362229094,10.0
561,57.56578947368421,10.0
562,62.24845201238389,10.0
563,64.27534829721363,10.0
564,60.956849845201226,10.0
565,59.336300309597526,10.0
566,54.92453560371517,10.0
567,59.67492260061919,10.0
568,60.637577399380795,10.0
569,58.28173374613003,10.0
570,62.11300309597523,10.0
571,62.35487616099073,10.0
572,57.63835139318885,10.0
573,60.61822755417957,10.0
574,62.45646284829722,10.0
575,62.200077399380795,10.0
576,56.927244582043336,10.0
577,59.22020123839009,10.0
578,55.51470588235295,10.0
579,61.09713622291022,10.0
580,60.187693498452006,10.0
581,59.03637770897833,10.0
582,62.949883900928796,10.0
583,59.84423374613003,10.0
